VENDOR INVOICE REGISTER — 500 Invoices WITH Embedded Anomalies,,,,,,,,,,,,,,,,,,,
Find: 38 Duplicates | 52 Rate Mismatches | 24 Ghost Invoices | 41 3-Way Match Failures,,,,,,,,,,,,,,,,,,,
Invoice No,Invoice Date,Receipt Date,Vendor ID,Vendor Name,PO Reference,GRN Reference,Item Description,Qty Billed,Rate Billed (Rs.),Basic Amt (Rs.),GST %,GST Amt (Rs.),Total Invoice (Rs.),Payment Terms,Due Date,Payment Status,Submitted Via,Processed By,Notes
INV/V001/79920,05/11/2023,11-05-2023,V001,Sharma Enterprises,PO/FY24/0001,GRN/FY24/0001,Steel Sheets 2mm,439,180.00,"79,020.00",18,"14,223.60","93,243.60",60,10-07-2023,Pending,Portal,AP Clerk - Ramesh,
INV/V002/15428,31/12/2023,31-12-2023,V002,Rajput Steel Works,PO/FY24/0002,GRN/FY24/0002,Aluminium Rods,750,280.00,"210,000.00",18,"37,800.00","247,800.00",45,02/14/2024,Pending,Email,AP Clerk - Mohan,
INV/V003/60571,21-10-2023,10/23/2023,V003,Gupta Packaging,PO/FY24/0003,GRN/FY24/0003,Rubber Gaskets,432,52.00,"22,464.00",18,"4,043.52","26,507.52",60,12/20/2023,Pending,Email,AP Clerk - Sunita,
INV/V004/51499,03-09-2023,03-09-2023,V004,Singh Logistics,PO/FY24/0004,GRN/FY24/0004,Cutting Tools Set,783,"1,450.00","1,135,350.00",18,"204,363.00","1,339,713.00",45,18-10-2023,Pending,Portal,AP Clerk - Sunita,
INV/V005/18625,22-04-2024,25-04-2024,V005,Mehta Industries,PO/FY24/0005,GRN/FY24/0005,Lubricating Oil,258,490.00,"126,420.00",18,"22,755.60","149,175.60",45,06-06-2024,Pending,Courier,AP Clerk - Sunita,
INV/V006/51799,18-11-2023,20-11-2023,V006,Joshi Components,PO/FY24/0006,GRN/FY24/0006,Corrugated Boxes,416,22.00,"9,152.00",12,"1,098.24","10,250.24",60,17-01-2024,Pending,Email,AP Clerk - Ramesh,
INV/V007/12476,10-06-2023,11/06/2023,V007,Agarwal Metals,PO/FY24/0007,GRN/FY24/0007,Ball Bearings,565,260.00,"146,900.00",18,"26,442.00","173,342.00",30,10-07-2023,Pending,Email,AP Clerk - Ramesh,
INV/V008/59391,02/12/2023,04-12-2023,V008,Patel Suppliers,PO/FY24/0008,GRN/FY24/0008,Hydraulic Hoses,697,720.00,"501,840.00",18,"90,331.20","592,171.20",45,16-01-2024,Pending,Email,AP Clerk - Ramesh,
INV/V009/10070,19-02-2024,22/02/2024,V009,Kumar Trading,PO/FY24/0009,GRN/FY24/0009,Safety Gloves,705,95.00,"66,975.00",5,"3,348.75","70,323.75",30,20-03-2024,Pending,Email,AP Clerk - Ramesh,
INV/V010/80456,08-01-2024,10/01/2024,V010,Verma Auto Parts,PO/FY24/0010,GRN/FY24/0010,Welding Rods,107,210.00,"22,470.00",18,"4,044.60","26,514.60",60,08/03/2024,Pending,Email,AP Clerk - Sunita,
INV/V001/97799,21/09/2023,22-09-2023,V001,Sharma Enterprises,PO/FY24/0011,GRN/FY24/0011,Steel Sheets 2mm,148,180.00,"26,640.00",18,"4,795.20","31,435.20",60,20-11-2023,Pending,WhatsApp,AP Clerk - Sunita,
INV/V002/53482,11/14/2023,16-11-2023,V002,Rajput Steel Works,PO/FY24/0012,GRN/FY24/0012,Aluminium Rods,376,280.00,"105,280.00",18,"18,950.40","124,230.40",30,14/12/2023,Pending,Courier,AP Clerk - Mohan,
INV/V003/30443,11/02/2024,14/02/2024,V003,Gupta Packaging,PO/FY24/0013,GRN/FY24/0013,Rubber Gaskets,563,52.00,"29,276.00",18,"5,269.68","34,545.68",60,11-04-2024,Pending,Email,AP Clerk - Sunita,
INV/V004/23414,01-10-2023,01/10/2023,V004,Singh Logistics,PO/FY24/0014,GRN/FY24/0014,Cutting Tools Set,445,"1,450.00","645,250.00",18,"116,145.00","761,395.00",30,31-10-2023,Pending,WhatsApp,AP Clerk - Sunita,
INV/V005/62495,21-02-2024,02/24/2024,V005,Mehta Industries,PO/FY24/0015,GRN/FY24/0015,Lubricating Oil,504,490.00,"246,960.00",18,"44,452.80","291,412.80",60,21-04-2024,Pending,Email,AP Clerk - Ramesh,
INV/V006/77691,01-01-2024,04-01-2024,V006,Joshi Components,PO/FY24/0016,GRN/FY24/0016,Corrugated Boxes,371,22.00,"8,162.00",12,979.44,"9,141.44",30,31-01-2024,Pending,Email,AP Clerk - Ramesh,
INV/V007/67700,07-05-2023,08-05-2023,V007,Agarwal Metals,PO/FY24/0017,GRN/FY24/0017,Ball Bearings,498,260.00,"129,480.00",18,"23,306.40","152,786.40",45,21-06-2023,Pending,WhatsApp,AP Clerk - Mohan,
INV/V008/41429,19/01/2024,21-01-2024,V008,Patel Suppliers,PO/FY24/0018,GRN/FY24/0018,Hydraulic Hoses,596,720.00,"429,120.00",18,"77,241.60","506,361.60",60,19-03-2024,Pending,Portal,AP Clerk - Ramesh,
INV/V009/25643,30-06-2023,30-06-2023,V009,Kumar Trading,PO/FY24/0019,GRN/FY24/0019,Safety Gloves,213,95.00,"20,235.00",5,"1,011.75","21,246.75",30,30-07-2023,Pending,Email,AP Clerk - Mohan,
INV/V010/25945,17-05-2023,18-05-2023,V010,Verma Auto Parts,PO/FY24/0020,GRN/FY24/0020,Welding Rods,438,210.00,"91,980.00",18,"16,556.40","108,536.40",60,16-07-2023,Pending,Email,AP Clerk - Sunita,
INV/V001/85683,08/28/2023,31-08-2023,V001,Sharma Enterprises,PO/FY24/0021,GRN/FY24/0021,Steel Sheets 2mm,730,180.00,"131,400.00",18,"23,652.00","155,052.00",30,27-09-2023,Pending,Portal,AP Clerk - Ramesh,
INV/V002/30517,26-11-2023,28/11/2023,V002,Rajput Steel Works,PO/FY24/0022,GRN/FY24/0022,Aluminium Rods,468,280.00,"131,040.00",18,"23,587.20","154,627.20",30,26/12/2023,Pending,Email,AP Clerk - Mohan,
INV/V003/46780,12-04-2024,04/14/2024,V003,Gupta Packaging,PO/FY24/0023,GRN/FY24/0023,Rubber Gaskets,221,52.00,"11,492.00",18,"2,068.56","13,560.56",30,12-05-2024,Pending,Portal,AP Clerk - Sunita,
INV/V004/32332,04/30/2023,30-04-2023,V004,Singh Logistics,PO/FY24/0024,GRN/FY24/0024,Cutting Tools Set,623,"1,450.00","903,350.00",18,"162,603.00","1,065,953.00",30,30-05-2023,Pending,WhatsApp,AP Clerk - Sunita,
INV/V005/51806,06/13/2023,15/06/2023,V005,Mehta Industries,PO/FY24/0025,GRN/FY24/0025,Lubricating Oil,71,490.00,"34,790.00",18,"6,262.20","41,052.20",30,13-07-2023,Pending,Email,AP Clerk - Ramesh,
INV/V006/32546,06-07-2023,09-07-2023,V006,Joshi Components,PO/FY24/0026,GRN/FY24/0026,Corrugated Boxes,691,22.00,"15,202.00",12,"1,824.24","17,026.24",45,20-08-2023,Pending,Email,AP Clerk - Mohan,
INV/V007/32281,02/02/2024,05-02-2024,V007,Agarwal Metals,PO/FY24/0027,GRN/FY24/0027,Ball Bearings,226,260.00,"58,760.00",18,"10,576.80","69,336.80",45,03/18/2024,Pending,Courier,AP Clerk - Sunita,
INV/V008/38541,22-03-2024,22-03-2024,V008,Patel Suppliers,PO/FY24/0028,GRN/FY24/0028,Hydraulic Hoses,448,720.00,"322,560.00",18,"58,060.80","380,620.80",60,21-05-2024,Pending,Courier,AP Clerk - Sunita,
INV/V009/77132,30-06-2023,30-06-2023,V009,Kumar Trading,PO/FY24/0029,GRN/FY24/0029,Safety Gloves,441,95.00,"41,895.00",5,"2,094.75","43,989.75",45,14-08-2023,Pending,Email,AP Clerk - Mohan,
INV/V010/77948,21-11-2023,21-11-2023,V010,Verma Auto Parts,PO/FY24/0030,GRN/FY24/0030,Welding Rods,730,210.00,"153,300.00",18,"27,594.00","180,894.00",45,05-01-2024,Pending,Courier,AP Clerk - Sunita,
INV/V001/67592,05-01-2024,07-01-2024,V001,Sharma Enterprises,PO/FY24/0031,GRN/FY24/0031,Steel Sheets 2mm,123,180.00,"22,140.00",18,"3,985.20","26,125.20",45,19-02-2024,Pending,Portal,AP Clerk - Mohan,
INV/V002/16661,04/28/2023,01-05-2023,V002,Rajput Steel Works,PO/FY24/0032,GRN/FY24/0032,Aluminium Rods,473,280.00,"132,440.00",18,"23,839.20","156,279.20",45,12-06-2023,Pending,Email,AP Clerk - Sunita,
